,company_name,job_summary,job_title,City,State
116,Building Service 32BJ Benefit Funds,"Demonstrated mastery with Python and its data science ecosystem; Python, Anaconda stack (Jupyter Notebook, NumPy, Pandas, MatPlotLib/Bokeh, SciPy, Scikit-Learn)…",Data Engineer,New York, NY
117,JP Morgan Chase,"Familiarity with basic data table operations (SQL, Hive, etc.). Ability to develop and debug in Python, Java, C or C++. Proficient in git version control.",CIB Machine Learning Center of Excellence - Applied AI/ML Lead,New York, NY
118,Storm Global Analytics,"Excellent Python (numpy, pandas, scikit-learn, etc.). Create algorithms to extract information from large data sets. Deep Learning Senior Analytics Consultant.",Deep Learning Senior Analytics Consultant,New York, NY
119,Protiviti,"Must at least be proficient with Python Scientific suite (NumPy, SciPy, Matplotlib and Pandas). Proven Data manipulation skill is required.",New York Technology Consulting Machine Learning Experienced Consultant,New York, NY
120,Xandr,"Experience thinking critically about complicated algorithms and analyzing data sets using Python Pandas. At Xandr, our data is our life line - we can only be as…",Software Engineer II - Data Science Team,New York, NY
121,AllianceBernstein,"Hands on experience in the use of essential python libraries such as pandas, numpy, sklearn and other modern data science tools is a strong plus.",Quantitative Analyst – Structured Products,New York, NY
122,Disney Streaming Services,"Knowledge of the Python data ecosystem using pandas and numpy. Familiar with metadata management, data lineage, and principles of data governance.","Sr. Software Engineer, Data Platform",New York, NY
123,AIG,"Strong coding skills, practical sense for data structures and transfer, and intuition for the asset management data and computation practices will be…",Sr. Software Developer - Quant Equity Research,New York, NY
124,Matrix Resources,"At least one core programming expertise, such as python (NumPy, SciPy, Pandas), R, Scala. Conduct original research on large proprietary and open source data…",Senior Data Scientist,New York, NY
125,"Iteris, Inc.","Experience with NoSQL data stores (e.g. Experience with Pandas, Dask, or NumPy. Experience or interest in map based data visualizations.",Software Developer,United States,
