,company_name,job_summary,job_title,City,State
116,Lumiata,"We’re building a Big Data / Machine Learning platform for managing PBs of data, as well as providing our data science team capabilities that will allow them to…",Senior Data Scientist,San Mateo, CA
117,Affirm,"Experience using frameworks for machine learning and data science like scikit-learn, pandas, numpy.Design experiments and analyze data.",Senior Data Scientist,San Francisco, CA
118,ViaSat,"The candidate has a deep understanding of cybersecurity, networking traffic analysis, intrusion detection, offensive security, statistics with the ability to…",Cybersecurity Analyst -Threat Hunter,Carlsbad, CA
119,Genentech,"At least 5 years experience with Python (Numpy, Scipy, Pandas, scikit-learn).Building production ETL processes to acquire and process data.","Principal Data Scientist, People Analytics",South San Francisco, CA
120,Syapse,"Experience with common python data science toolkits and IDE, such as scikit-learn, keras, pandas, numpy, gensim, nltk, tensorflow, pyTorch, PyCharm, Jupyter.",Sr. Data Scientist,San Francisco, CA
121,Instacart,"Data modeling, ETL and data pipeline development experience.Ability to write complex and performant queries in your dialect of SQL to extract data from our…","Senior Analyst, Trust & Safety",San Francisco, CA
122,Trilogy Ed,We are looking for an experienced Data Analyst to teach our part time Data Analytics and Visualization class at UC Berkeley.We'd love to hear from you!,Data Analytics Instructor - UC Berkeley (Belmont),Belmont, CA
123,ASML,Data Science Organization at ASML-Brion is looking for an experienced Data Scientist who has a passion to build data products and data systems.,Sr. Data Scientist,San Jose, CA
124,DocuSign,"Partner with cross-department to report accurately on data sourced from many different data sources including Support, Product, DocuSign University, and…",Principal Analyst- Digital Touch,San Francisco, CA
125,Synthetic Genomics,Python) and version control systems (e.g.Working directly with software engineers to deploy new data products.Experience with SQL and relational databases.,"Senior Data Scientist/Data Scientist, Research Informatics",La Jolla, CA
126,Loot Crate,"As a Senior Data Engineer, you will specialize in data pipelines, large-scale data processing and distributed systems.Manage and maintain data infrastructure.",Senior Data Engineer,Los Angeles, CA
127,SnackNation,"A consistent track record of performing data analysis, data automation, data manipulation, and machine learning applications using Python (numpy, pandas, scikit…",Data Science Manager,Culver City, CA
128,Tinder,Management experience of high-performing data scientists / analysts with the ability to prioritize numerous workstreams across multiple stakeholders and direct…,Director of Marketing Data Science,Los Angeles, CA
129,Afresh,"Proficiency with the Python data science stack, including numpy, scipy, pandas, scikit-learn, matplotlib.Overseeing the implementation of data pipelines within…",Senior Data Scientist,San Francisco, CA
130,Cisco Careers,"Python programming, with an extensive knowledge of data processing and ML libraries such as Pandas, Scikit-Learn, Tensorflow, Keras, etc.",Senior Data Scientist AI/ML,San Jose, CA
131,General Assembly,"You are an expert in SQL, Python, and related Python libraries (pandas, numpy).Why Be a Part of the Data Science Immersive?",Data Science Instructor,San Francisco, CA
132,Earnin,"SQL, R, Python with pandas experience preferred, but extensive experience using SAS, Excel, etc is also possible;You can help make a difference.",Director of Growth Analytics,Palo Alto, CA
133,Earnin,"Proficiency with R and/or Python libraries commonly used in data science.SQL, R, Python with pandas experience preferred, but extensive experience using SAS,…",Lifecycle Analytics Manager - Growth,Palo Alto, CA
134,Jacobs,"Spatial Analyst, Geostatistical Analyst, Data Reviewer, Data Interoperability).ArcPy, ArcGIS Python API, Pandas, Numpy, Matplotlib, pyodbc).",GIS Professional,San Diego, CA
135,GreatCall,"Perform exploratory data mining to uncover relationships and trends in data.Organizing, cleansing, and verifying the integrity of data used for analyses,…",Senior Data Science Software Engineer,San Diego, CA
136,Anaplan,"Python, scikit-learn, NLTK, Numpy, Pandas, TensorFlow, Keras, R, Spark.Spark – working with RDDs and Data Frames to query and perform data manipulation or…",Principal Machine Learning Engineer,San Francisco, CA
137,General Assembly,"Expertise in SQL, Python, and related Python libraries (pandas, numpy).Our Data Science Immersive course empowers students with both the skills and mindsets to…",DSI Instructor Lead,San Francisco, CA
138,Monster Energy,"Technical skills including writing complex SQL queries, Python (preferred) or R, with solid understanding of open source data mining / data visualization…","Manager, Digital Marketing Analytics",Corona, CA
139,Lyft,"Geospatial data experience - geojson, shapefiles, gdal, postgis, leaflet.Experience in a scripting language like Python or R.It's what makes us different.",Policy Research Analyst,San Francisco, CA
140,Salesforce,Salesforce is looking for data scientists with hands on experience transforming unique data into amazing products.You have to love data - this is what we do.,Machine Learning/ Deep Learning/ Data Scientist (Product Development - Sr./Lead/Principal),San Francisco, CA
141,Postmates,"Extensive experience with data tools, Python (Pandas, Scipy, Numpy, Scikit-Learn, etc), R, SAS, SQL, etc and strong skills in data analysis, data visualization,…",Data Scientist,San Francisco, CA
142,Symbio,Aptitude with Pandas and NumPY Python libraries during development lifecycle is desirable.Write code to access data warehouses and extract the data as Java…,Senior Java Developer (Contract),San Francisco, CA
143,Postmates,"Extensive experience with data tools -- Python (Pandas, scipy, numpy, scikitlearn etc), R, SQL, Octave.You understand the challenges, nuances, and details of…",Data Scientist - Risk,San Francisco, CA
144,Blue Owl,Requirements for all data scientists.Experience working with large or fast moving data sets.You have used pandas enough to run into its rough parts.,Data Scientist,San Francisco, CA
145,Genentech,Drive decision making by clearly tell stories with data.Building production ETL processes to acquire and process data.Who we are looking for.,"Principal Data Scientist, People Analytics",South San Francisco, CA
146,Symbio,Aptitude with Pandas and NumPY Python libraries during development lifecycle is desirable.Write code to access data warehouses and extract the data as Java…,Senior Java Developer (Contract),San Francisco, CA
147,Postmates,"Extensive experience with data tools -- Python (Pandas, scipy, numpy, scikitlearn etc), R, SQL, Octave.You understand the challenges, nuances, and details of…",Data Scientist - Risk,San Francisco, CA
148,Intuit,"Python, Scikit, NLTK, Numpy, Pandas, TensorFlow, Keras, R, Spark).We are seeking a Senior Technical Data Analyst, with a heavy focus on Machine Learning and…",Senior Technical Data Analyst,San Diego, CA
149,ODSC Hiring Partner,Programming proficiency in Python or R.Their data science team is expanding!Development of data science solutions for industrial projects.,Data Scientist – Generalist,San Francisco Bay Area, CA
150,Direct-to-Consumer and International,"The Business Intelligence Analyst will use customer attributes, purchase transaction data, and event-level data from the Movies Anywhere apps to build…",Business Intelligence Analyst,Burbank, CA
151,UCLA Health,"5 or more years of advanced data analysis experience and expertise in diverse statistical, data mining techniques and technologies including:",Senior Data Scientist,Los Angeles, CA
152,Liberty Personnel Services,My client has a full time opening for a Data Scientist.They are seeking someone with 1-5 years of overall experience and you must be a Citizen or GC holder to…,Data Scientist,Fremont, CA
153,Kelly Services,"Python, Jupyter Notebook, Numpy, Matplotlib to analyze and performs statistical data analysis with structured and unstructured data.",Python Software Engineer (Data Science),Torrance, CA
154,Direct-to-Consumer and International,"The Business Intelligence Analyst will use customer attributes, purchase transaction data, and event-level data from the Movies Anywhere apps to build…",Senior BI Analyst,Burbank, CA
155,Tailored Management,"3+ years working as a Marketing Analyst, Data Scientist, or Decision Scientist within Marketing.Masters in above field's or data science preferred.",Marketing Decision Scientist,Menlo Park, CA
156,Marlette Funding,"Data science related major is a big plus.From data extraction, feature engineering to model building, performance evaluation and implementation.",Data Scientist,California,
157,avast software,"Data mining to uncover hidden correlation among data.Experience with data science toolkits, such as Pandas, scikit-learn, Tensorflow.",Privacy Data Scientist,Redwood City, CA
