,company_name,job_summary,job_title,City,State
69,"Institute for Shock Physics, Washington State University","Good computer skills, including experience with technical/design programs, such as LabView or SolidWorks, and working knowledge of data analysis software.","Research Operations Engineer Position - Pullman, WA",Washington State,
70,TISS,Should be in Data engineering and not Data Analyst or Data scientist. Should be well versed in creating data pipelines using Python.,"Data Engineer or Database Developer - Menlo Park, CA / Seattle , WA",Seattle, WA
71,Facebook,Cross-correlate data from various techniques to drive towards conclusions. We are looking for a specialist who knows not only how to measure data using a suite…,Failure Analysis Engineer,Redmond, WA
72,Bungie,"Implement and optimize data pipelines, architectures and data sets on cutting-edge hardware. As a Data Engineer at Bungie you will help architect and support…",Data Engineer,Bellevue, WA
73,Microsoft,Constant collaboration with Support Engineers at different levels and technology area. Support Engineers (SE) serve as technical resources for Microsoft’s…,Support Engineer,Redmond, WA
74,Mitsubishi Aircraft Corporation,"As the Flight Test Project Engineer, you will be responsible for supporting your assigned Flight Test Vehicle (FTV) work scope, test readiness, test execution,…",Flight Test Project Engineer (Recent Graduate),Moses Lake, WA
75,Homesite Insurance,"We’re looking for a Data Engineer to help us transform our data systems and architecture to support greater variety, volume, and velocity of data and data…",Data Engineer,Seattle, WA
76,Microsoft,Technical Excellence - Core to being a software engineer is of course technical excellence. Customer Focus - A focus on delivering customer value and being able…,Data Scientist,Redmond, WA
77,Expedia Group,"Knowledge of data structures, algorithms and OOP concepts. As a software engineer at Expedia you will design and implement high-volume, fault tolerant, scalable…",New Graduate - Software Development Engineer 1,Seattle, WA
78,State of Washington State Investment Board,The Washington State Investment Board (WSIB) is seeking highly qualified candidates to fill an Investment Data Engineer position within the Investment Data…,Investment Data Engineer,Olympia, WA
79,BOEING,"Must be able to interact with employees to gather data for process improvements. This may include observing and documenting processes, and collecting data in…",Entry-Level Industrial Engineer,Everett, WA
80,Symphony AzimaAI,"3+ years experience as a Software QA Engineer and/or a Software Test Engineer. Software QA Engineer and / or Test: Experience with ALM processes, including:",Software QA Engineer,Poulsbo, WA
81,eXcell,The Database Engineer / Data Scientist will be instrumental in collecting data around processes and creating a warehouse for various teams to consume.,Database Engineer / Data Scientist,Redmond, WA
82,Sound Transit,Professional Civil Engineer License issued by the State of Washington. Preparing and analyzing complex data and comprehensive reports.,Senior Civil Engineer - Traffic,Seattle, WA
83,Structured Communication Systems,"The noise level in the data center environment is generally loud. Structured has immediate openings in Clackamas, Oregon and Bellevue, Washington for a Systems…",Systems Engineer Tier- II,Bellevue, WA
84,Pythian,"Warehousing, data marts, data lakes). Experience in data management best practices, real-time and batch data integration, and data rationalization.",Big Data Engineer,United States,
85,WiWynn,"Conduct analysis with tools, schematics, records and data books to find the root cause of the issue. Provide timely response and service to customer for issues…",Failure Analysis Engineer,Redmond, WA
86,Polaris Industries,"Coordinate data gathering and reporting of key metrics for process improvement events. Drive the design, implementation, and continuous improvement of the…",Lean Engineer,Battle Ground, WA
87,Woot Services LLC,"This person will build new business intelligence solutions as an owner end-to-end, at the same time, collaborate with data engineers and data scientists to…","Data Engineer, Woot!",Seattle, WA
88,Zillow,Interest in working with multi-terabyte-sized data sets and are comfortable accessing those data (even if they're in JSON format) with Hive and Presto.,Data Scientist - Intern,Seattle, WA
89,Grab Taxi,Design and implement robust data pipelines. Minimum 3 years experience as a software engineer writing production code. Get to know the Role:,AI Engineer,Bellevue, WA
90,Zillow,"We are looking for a Software Engineer to join the Listing Data team. Develop faster and innovative ways to process data. In this role, you will:",Software Development Engineer- Listing Data,Seattle, WA
91,Microsoft,Courses in OO programming and data structures. Applications to this opportunity are considered for all available Silicon Development Engineer full time roles…,Full Time Opportunities for Students or Recent Graduates: Silicon Engineering,Redmond, WA
92,Google,"Experience working with Data Structures or Algorithms (i.e. Data structures /algorithms class, coursework/projects, research, internships, or other practical…","Software Engineer, University Graduate",Kirkland, WA
93,Puget Sound Energy,Acquiring performance data from new and existing equipment or systems to validate against design parameters. Puget Sound Energy is looking to hire early-career…,Engineer In Training,Kent, WA
94,Cloudix,"Data Engineer will be responsible for expanding and optimizing data and data pipeline architecture, as well as optimizing data flow and collection for cross…",Data Engineer with AWS,Bellevue, WA
95,Imperative,"You will gain deep experience in start-up development, internal communications, running a SaaS technology stack, being part of a globally distributed team that…",QA Engineer,Seattle, WA
96,Philips,"Presents complex technical data in a concise way. Documents data / decisions in a detailed and structured way. In this role, you have the opportunity to.",Systems Engineer,Bothell, WA
97,Revel Consulting,"AS A BIG DATA ENGINEER SENIOR ASSOCIATE FOR THE TECHNOLOGY COMMUNITY, YOU: Advanced knowledge of Big Data & Data Engineering, with deep, hands-on technical…",Big Data Engineer,Seattle, WA
98,AeroMech Incorporated,"Federal Aviation Administration (FAA) certification responsibility, program management planning, data aircraft systems engineering/design, data analysis and…",Aircraft Certification and Systems Engineer,Everett, WA
99,Modern Electron,Utilize laboratory and field test data to correlate and validate analytical models. Experience analyzing laboratory and field test data to correlate and…,Combustion Engineer,Bothell, WA
100,Zumiez Inc,"Ability to define problems, collect data, establish facts, and draw valid conclusions. Seeks out advice, coaching and educational opportunities from architects…",Applications Engineer,Lynnwood, WA
101,"Agilysys, Inc.","Experience in fundamentals of data structure, algorithm design, problem solving, copmlexity analysys. Agilysys is looking for talented, motivated Software…",Junior Software Engineer,Bellevue, WA
102,Leaseweb USA,Our team of Data center Operations Engineers is involved in the daily management of our 10 data center facilities throughout the US.,Data Center Engineer,Seattle, WA
103,"Amazon.com Services, Inc.","5+ years of experience as a Data Engineer, BI Engineer, Business/Financial Analyst or Systems Analyst in a company with large, complex data sources.","Data Engineer, Global Exports",Bellevue, WA
104,Invitae,"As a Healthcare Data Engineer, you'll be responsible for collaborating with product managers, data scientists, designers, and engineers to help us make sense of…","Data Engineer, Healthcare",Seattle, WA
105,Sound,"The Data Engineer has the responsibility to oversee data organization, data warehouse, maintenance, and support development of Data Analysis - Reporting.",Data Engineer,Tukwila, WA
106,Calabrio,"The Calabrio software suite generates large quantities of numerical, text, audio, and user-generated data. We are looking for an individual with a passion for…",Haskell and Data Engineer,Vancouver, WA
107,ASSURANCE,Our Data Engineers design and build the backbone that makes this development possible with no support from engineering (we own our stack end to end).,Data Engineer,Seattle, WA
108,Nordstrom,"An engineer 2 is part of a key team of Nordstrom Technology professionals that applies scientific, mathematical and social principles to design, build, and…",Engineer 2 - Search Data Platform,Seattle, WA
109,TTi Global,"Experience in Handling Big Data Ingestion. 5+ yrs of Hadoop based technologies – HDP. Experience with Sqoop, spark, python/java.",Sr. Data Engineer,Bellevue, WA
110,"Amazon.com Services, Inc.","Business Intelligence Engineer, Quantitative Analyst, Data Scientist, Software Engineer, etc.). Understanding of data management fundamentals, data storage…","Snr, Data Engineer, WWCS",Seattle, WA
111,Indeed,"Work side by side with world-class QA Automation Engineers, QA Engineers, Software Engineers, Data Scientists, Site Reliability Engineers, Tech Writers, and…",QA Automation Engineer,Seattle, WA
112,Confidential,Experience in data center and/or cloud operations and migrations. Expert knowledge of various Cisco Route/Switch equipment and Data Center technologies.,Lead Network Engineer,Seattle, WA
113,SR Education Group,"Our experienced Ruby on Rails software engineers write and maintain complex code bases, process large amounts of data using advanced algorithms, and design…",Software Engineer,Kirkland, WA
114,Zillow Group,"As a Data Engineer, you will be responsible for all phases of the development cycle: Work closely with business stake holders, data analysts and machine…","Software Development Engineer, Big Data",Seattle, WA
115,Stillaguamish Tribe of Indians,_Designs databases and data dictionary criteria. Ability to consolidate Access databases into a logical SQL implementation and design web based front ends for…,Database Engineer,Arlington, WA
116,Red Ventures,"Data Engineers at HigherEducation.com drive business value by transferring and structuring data for production and consumption by engineers, businesses,…",Data Engineer,Seattle, WA
117,"ExtraHop Networks, Inc.",Employ a mix of manual and automated data analysis techniques to collect data and analyze the operational environment of the ExtraHop system.,Intern Data Scientist,Seattle, WA
118,US Department of Veterans Affairs,"A) Professional registration - Current registration as an Engineer Intern (EI), Engineer in Training (EIT), or licensure as a Professional Engineer (PE) by any…",General Engineer,Walla Walla, WA
119,City of Tacoma,Engineer in Training (EIT)/Fundamentals of Engineering (FE) is highly desired. Work collaboratively with and direct others to verify and validate customer…,Distribution Line Engineer,Tacoma, WA
