,company_name,job_summary,job_title,City,State
86,AK Steel,Data analysis skills necessary for data driven decision making. AK Steel has an immediate opportunity for a Metallurgist / Materials Engineer at our Coshocton…,Metallurgist / Materials Engineer,Coshocton, OH
87,RoviSys,"Our Software Engineers and Developers rely on strong software development skills to address technology decisions, data management, scalability, security and…",Software Engineer/Developer,Aurora, OH
88,"BGI, LLC","Leverage data aggregation, statistical analysis, and data mining algorithms. As a Data Science Software Engineer, you will apply algorithms to heterogeneous…",Mid-Level Data Science Software Engineer,Akron, OH
89,Selas Heat Technology Company,"Facility consolidation rationalization and integration, IT data collection and manufacturing automation, and other facility and process related activities.",Manufacturing Engineer,Streetsboro, OH
90,Quotient Technology Inc.,"Drive the production of analytic capabilities in data management, modeling and algorithms. Devise, develop, test and deploy new data models to expand current…",Data Engineer,Cincinnati, OH
91,Pison Stream Solutions,"Expertise in data and problem analysis. Pison Stream Solutions is looking for a full-time Engineer to join our team in Brecksville, Ohio. What’s in it for you?",Engineer,Cleveland, OH
92,Chmura Economics & Analytics,We have an exciting opportunity for a Infrastructure Engineer to join our Data Science and Technology team. You’ll work with an amazing team of economists and…,Infrastructure Engineer,Cleveland, OH
93,Matco,Become an expert on Matco’s Business Intelligence data warehouse to learn how to mine data on field failures both by quantity and cost.,Mechanical Engineer Intern (Summer 2020),Stow, OH
94,ViaSat,"Scripting, automation, data visualization & dashboarding. Data analytics & cloud application engineering. Experience with GPU Programming, Cloud Technology,…",Software Engineer Intern,Cleveland, OH
95,OWENS CORNING,"The Product Development Engineer manages the development, implementation and support of new technologies related to Roofing Components packaging products.",Product Development Engineer,Granville, OH
96,Continental Structural Plastics,"We are seeking a Quality Engineer for our Carey, Ohio Plant. Interface with plant and corporate engineering to ensure transfer to launch of new products are in…",Quality Engineer,Findlay, OH
97,Emission Monitoring Service Inc.,Performing drift assessments (entering data into calibration book). Calibration of TVA (entering data into handheld & in calibration book).,Monitoring Technician,Cadiz, OH
98,Johnson Matthey,"Basic computer skills, including data entry, are required. Johnson Matthey’s Catacel Technology Center, located in Ravenna, Ohio, engineers and manufactures…",Production Operator (2nd Shift),Ravenna, OH
99,Hirschvogel Incorporated,"Investigate design proposals for improving equipment performance or to obtain data for development, standardization, and quality control.",Production Engineer Machining,Columbus, OH
100,Verizon,"Intelligent Edge Network (iEN), Unified Transport, Voice and Data, and Internal Data Core networks. Field Engineer detailed, often complex, network builds for…",Field Engineer,Cleveland, OH
101,Qbase,"Experience performing hands-on data integration, data linking, fuzzy matching, and data transformations (ETL). Work independently with minimal supervision.",Data Engineer,Beavercreek, OH
102,"Honda R&D Americas, Inc.",Quality Services Department (QSD) Materials Engineer – Engineering Development Program (EDP). Confer with engineers and other personnel to resolve system…,Materials Engineer- Engineering Development Program - June 2020,Anna, OH
103,Toyo Tires,Apply for Field Engineer Commercial using the link below: We are currently seeking a hands-on results-oriented Field Engineer to join our Commercial truck tire…,Tire Field Engineer - Commercial Tires,Akron, OH
104,Komatsu,"Effectively communicate and liaise between Product Support, Product Engineering, and Joy Global Service Centers to assist in collecting data to validate and…",Product Support Engineer,Cleveland, OH
105,BETTCHER INDUSTRIES INC,Being adaptable and overcoming obstacles are key qualities of an effective Design Engineer. Ability to collect and analyze data using a wide range of analytical…,Design Engineer,Vermilion, OH
106,The J. M. Smucker Company,"Provide data on project-related quality issues. For more than 120 years, The J.M. Smucker Company has brought families together to share memorable meals and…",Process Engineer,Akron, OH
107,Google,We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. It is built into the DNA of our products.,Data Center Security Manager,New Albany, OH
108,Electric Power Systems,"Commissioning Engineer | Area Engineer Managed-Task services as follows: We specialize in commissioning, start up, and maintenance testing for Utility,…",Commissioning Engineer,Cleveland, OH
109,STERIS,Supports senior engineer in Investigation of new test technologies and tools. Works on specific tasks under direction of manager or senior test engineer.,Software Test Engineer,Mentor, OH
110,Pythian,"In-depth knowledge of popular database and data warehouse technologies from Microsoft, Amazon and/or Google (Big Data & Conventional RDBMS), Microsoft Azure SQL…",Big Data Architect,United States,
111,CTS Corporation,"Utilize PLM system to manage design data and communicate the data throughout the global organization. Mentor less experienced engineers, designers or analysts.",Lead Design Engineer (automotive),Columbus, OH
112,Hull & Associates Inc,"Perform computations and process data using computer software or other established methods; Scheduling, equipment management, data management, file management…",Civil Engineer - Dublin or Newark OH,Newark, OH
113,MORGAN ADVANCED MATERIALS,"Assists in the compilation of data, generation of reports, and preparation of presentations. Ability to apply logical or scientific thinking to define problems,…",Process Engineer,Fostoria, OH
114,Verizon,"Experience in leading large scale data center projects. You will help Verizon move desktops, applications, and infrastructure from on-prem data centers to AWS.",Systems Engineer,Twinsburg, OH
115,Goodyear,Translate product needs to experimental data or design parameters. Communicate and solve problems by interpreting and analyzing data. MUST be willing to travel.,Development Engineer - Race Construction,Akron, OH
